ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
hsa03440;Homologous recombination;17/37;41/8390;1,63225885382551e-31;2,43206569220002e-29;1,13399036160509e-29;84142/472/580/672/675/4361/4683/79728/10111/5888/5890/5889/5893/25788/8438/7516/7517;17
hsa03460;Fanconi anemia pathway;12/37;54/8390;2,24522069554239e-18;1,67268941817908e-16;7,79918767925251e-17;545/672/675/2072/2175/2177/2178/55215/55120/79728/5888/5889;12
hsa04218;Cellular senescence;12/37;156/8390;1,38492634936474e-12;6,87846753517821e-11;3,20719786168677e-11;207/472/545/1111/11200/3845/4361/4683/5290/5728/10111/7157;12
hsa01524;Platinum drug resistance;7/37;73/8390;2,35389187902191e-08;8,76824724935660e-07;4,08833852672226e-07;207/472/672/4436/2956/5290/7157;7
hsa05210;Colorectal cancer;7/37;86/8390;7,45124256442879e-08;2,22047028419978e-06;1,03533054579432e-06;207/1499/3845/4436/2956/5290/7157;7
hsa05213;Endometrial cancer;6/37;58/8390;1,64951244556332e-07;3,92358279840678e-06;1,82943457926420e-06;207/1499/3845/5290/5728/7157;6
hsa05224;Breast cancer;8/37;147/8390;1,84329393213741e-07;3,92358279840678e-06;1,82943457926420e-06;207/672/675/1499/3845/5290/5728/7157;8
hsa05166;Human T-cell leukemia virus 1 infection;9/37;222/8390;3,53040884223550e-07;6,57538646866362e-06;3,06588136299399e-06;207/472/545/1111/11200/3845/5290/5728/7157;9
hsa04115;p53 signaling pathway;6/37;73/8390;6,61422000605338e-07;1,09502086766884e-05;5,10571368888331e-06;472/545/1111/11200/5728/7157;6
hsa05212;Pancreatic cancer;6/37;76/8390;8,41362547108058e-07;1,25363019519101e-05;5,84525559043493e-06;207/675/3845/5290/5888/7157;6
hsa05215;Prostate cancer;6/37;97/8390;3,55708606698310e-06;4,81823476345892e-05;2,24658067388406e-05;207/1499/3845/5290/5728/7157;6
hsa05230;Central carbon metabolism in cancer;5/37;70/8390;1,23942551951303e-05;1,53895335339535e-04;7,17562142875965e-05;207/3845/5290/5728/7157;5
hsa05218;Melanoma;5/37;72/8390;1,42371905346466e-05;1,63180106897103e-04;7,60853907114717e-05;207/3845/5290/5728/7157;5
hsa05214;Glioma;5/37;75/8390;1,73952902103734e-05;1,85135588667546e-04;8,63224927732817e-05;207/3845/5290/5728/7157;5
hsa04210;Apoptosis;6/37;136/8390;2,49822262126969e-05;2,48156780379456e-04;1,15707152985122e-04;207/472/3845/142/5290/7157;6
hsa05165;Human papillomavirus infection;8/37;331/8390;7,63721889746044e-05;7,11216009826004e-04;3,31616083705519e-04;207/472/545/1499/3845/5290/5728/7157;8
hsa05225;Hepatocellular carcinoma;6/37;168/8390;8,18979326602953e-05;7,17811292140236e-04;3,34691241831548e-04;207/1499/3845/5290/5728/7157;6
hsa04071;Sphingolipid signaling pathway;5/37;121/8390;1,73033653486277e-04;1,35694812470817e-03;6,32699231584171e-04;207/3845/5290/5728/7157;5
hsa04919;Thyroid hormone signaling pathway;5/37;121/8390;1,73033653486277e-04;1,35694812470817e-03;6,32699231584171e-04;207/1499/3845/5290/7157;5
hsa04068;FoxO signaling pathway;5/37;131/8390;2,50913472962345e-04;1,86930537356947e-03;8,71594169237621e-04;207/472/3845/5290/5728;5
hsa05223;Non-small cell lung cancer;4/37;72/8390;2,65848693801481e-04;1,88625977982955e-03;8,79499438140237e-04;207/3845/5290/7157;4
hsa05170;Human immunodeficiency virus 1 infection;6/37;212/8390;2,92831864443708e-04;1,98327035464148e-03;9,24732203506447e-04;207/472/545/1111/3845/5290;6
hsa05220;Chronic myeloid leukemia;4/37;76/8390;3,27387937607833e-04;2,12090446537248e-03;9,88906356160959e-04;207/3845/5290/7157;4
hsa01521;EGFR tyrosine kinase inhibitor resistance;4/37;79/8390;3,79806480854245e-04;2,35796523530344e-03;1,09943981299913e-03;207/3845/5290/5728;4
hsa05226;Gastric cancer;5/37;149/8390;4,55275878031036e-04;2,71344423306497e-03;1,26518770315993e-03;207/1499/3845/5290/7157;5
